3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
13,14,33,33,50,33,14,14,14,14,16,14,40,32,14,14,16,16,14,15
13,50,33,14,14,14,33,14,14,14,14,14,40,32,14,50,14,14,7,15
13,33,14,50,33,50,14,14,14,14,14,14,40,33,33,14,14,14,32,15
13,14,14,14,33,14,14,14,14,14,14,14,40,50,32,32,14,14,14,75
13,14,14,14,50,33,50,14,14,70,14,14,71,32,33,32,14,14,14,75
13,14,14,33,14,50,32,50,14,14,14,14,71,32,32,32,14,14,14,15
13,14,50,14,33,14,33,33,14,14,14,14,40,33,14,14,14,14,14,15
13,14,33,33,33,32,14,14,6,14,14,14,40,32,14,33,14,14,14,15
23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25
