3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
13,14,14,33,14,50,14,14,40,40,40,33,32,14,50,14,14,33,14,15
13,14,32,14,14,33,14,14,50,40,50,32,14,50,33,14,32,32,14,15
13,14,14,14,14,14,33,50,32,16,32,50,33,14,14,14,14,14,14,15
13,14,14,14,14,14,14,33,14,14,14,33,14,14,14,14,14,14,14,15
13,14,60,14,14,14,14,33,32,14,32,33,14,14,14,14,14,61,14,15
13,14,14,14,14,14,14,50,14,32,14,50,33,14,33,14,14,14,14,15
13,14,32,14,33,14,33,14,50,40,50,14,14,33,14,50,14,32,14,15
13,50,14,14,14,14,50,14,40,40,40,50,50,14,14,33,33,14,14,15
23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25
