3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
13,14,14,14,40,14,14,14,14,14,14,14,14,14,14,40,14,14,14,15
13,14,14,14,40,14,14,14,14,30,14,14,14,14,14,40,14,14,14,15
13,14,14,14,40,14,14,14,14,14,14,14,14,14,14,40,14,14,14,15
13,14,14,14,40,14,14,14,14,14,14,14,14,14,14,40,14,14,14,15
13,14,14,14,40,14,14,40,40,40,40,40,40,14,14,40,14,14,14,15
13,14,14,14,40,14,14,14,14,14,14,14,14,14,14,40,14,14,14,15
13,14,14,14,40,14,14,14,14,14,14,14,14,14,14,40,14,14,14,15
13,14,14,14,40,14,14,14,14,14,14,14,14,14,14,40,14,14,14,15
23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25
