3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
13,32,32,32,32,60,40,32,32,32,32,32,32,32,32,32,32,33,32,15
13,32,32,32,32,32,40,32,70,32,32,32,32,32,40,32,40,32,32,15
13,32,32,32,32,32,40,32,32,32,34,32,32,50,32,30,32,50,32,15
13,40,40,71,40,40,40,32,32,32,32,32,32,32,40,32,40,32,32,15
13,32,32,32,32,32,32,32,32,32,32,32,32,32,32,50,32,32,32,15
13,32,33,32,32,32,32,32,32,32,32,32,32,32,32,32,34,32,32,15
13,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,15
13,32,32,32,32,32,33,32,32,32,32,32,32,32,34,32,32,32,32,15
23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25
