3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
13,14,14,14,14,33,14,14,14,14,14,34,14,40,33,14,14,14,40,15
13,14,34,14,14,14,14,34,14,14,33,14,14,14,14,14,40,14,34,15
13,14,14,14,14,14,14,14,14,14,14,14,33,14,40,14,34,14,14,15
13,14,14,14,14,14,14,14,14,14,33,34,34,14,34,40,14,42,50,15
13,14,14,14,14,14,14,14,14,14,14,14,33,50,40,40,14,62,30,15
13,14,14,14,14,14,14,14,14,14,33,14,50,14,35,34,33,14,14,15
13,14,14,14,34,14,14,14,14,14,34,50,50,14,34,33,14,40,40,15
13,14,14,14,14,14,14,14,14,14,33,14,33,30,35,14,14,14,14,15
23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25
