3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
13,14,14,32,40,40,40,40,40,40,40,40,40,14,14,14,32,14,14,15
13,14,14,32,32,32,32,32,32,32,32,33,32,32,32,32,14,32,7,15
13,14,14,32,32,32,32,32,32,32,32,32,32,32,33,32,14,14,7,15
13,14,14,14,32,32,32,33,32,32,32,32,32,32,32,32,32,14,7,15
13,14,14,14,40,40,40,40,40,40,40,40,40,40,40,40,32,50,32,15
13,14,14,14,40,32,32,32,50,33,50,32,33,32,32,40,14,14,50,15
13,14,14,14,40,30,32,33,14,14,32,50,14,14,32,32,14,32,14,15
13,14,14,14,40,50,32,14,32,50,14,33,33,14,14,40,14,14,14,15
23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25
