3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
13,14,14,14,14,14,14,14,14,33,34,14,14,14,14,14,14,34,14,15
13,14,34,14,14,14,14,14,14,34,14,34,14,14,14,14,14,14,14,15
13,14,14,14,14,14,14,14,14,33,14,14,14,14,40,40,14,14,14,15
13,14,14,14,14,14,14,14,14,42,14,14,14,14,40,30,14,14,14,15
13,14,14,14,14,14,14,14,14,62,14,14,14,14,40,40,14,14,14,15
13,14,14,14,14,14,14,14,14,33,14,33,14,14,14,14,14,14,14,15
13,34,14,14,14,14,14,14,14,33,34,14,33,14,14,14,14,14,14,15
13,14,14,14,35,14,14,14,14,34,14,14,34,14,14,14,14,14,35,15
23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25
